"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;Samco;samco
"147937/0002-8  ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"37 - ITALIA";1651;;;;;;;;;;;;;;;;;Samco;1.00
"147937/0002-8  ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"37 - ITALIA";1651;;;;;;;;;;;;;;;;;Samco;1.00
"147938/0001-8   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147938/0001-8   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147938/0001-8   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147938/0002-7   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147938/0002-7   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147938/0002-7   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147939/0002-6   ";04;1;B;201109;2011-09-30;2011-10-10;2011-11-09;21.84;;"1 - SAN MARTIN ";1838;;;;;;;;;;;;;;;;;Samco;1.00
"147939/0002-6   ";04;1;B;201110;2011-10-30;2011-11-09;2011-12-09;21.24;;"1 - SAN MARTIN ";1838;;;;;;;;;;;;;;;;;Samco;1.00
"147939/0002-6   ";04;1;B;201111;2011-11-30;2011-12-10;2012-01-09;20.64;;"1 - SAN MARTIN ";1838;;;;;;;;;;;;;;;;;Samco;1.00
"147939/0001-7   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;"58 - BELGRANO";1994;;;;;;;;;;;;;;;;;Samco;1.00
"147939/0001-7   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"58 - BELGRANO";1994;;;;;;;;;;;;;;;;;Samco;1.00
"147939/0001-7   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"58 - BELGRANO";1994;;;;;;;;;;;;;;;;;Samco;1.00
"147940/0000-4   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147940/0000-4   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147940/0000-4   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147941/0001-2   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147941/0001-2   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147941/0001-2   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147941/0002-1   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147941/0002-1   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147941/0002-1   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147942/0002-0   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147942/0002-0   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147942/0002-0   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147942/0001-1   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147942/0001-1   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147942/0001-1   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147943/0000-1   ";04;1;A;201109;2011-09-30;2011-10-10;2011-11-09;23.61;;;;;;;;;;;;;;;;;;;;Samco;1.00
