"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
181;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;20.00
182;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;20.00
184;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;717;;;;;;;;;;convenio;;;;;;;tasa;21.45
185;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;59.36;;;640;;;;;;;;;;convenio;;;;;;;tasa;21.02
192;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;289.90;;;367;;;;;;;;;;convenio;;;;;;;tasa;102.64
193;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;1125;;;;;;;;;;convenio;;;;;;;tasa;20.00
194;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;552.90;;;;;;;;;;;1384;;convenio;;236;2011-03-02;;;;tasa;195.75
195;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;853.17;;;367;;;;;;;;;;convenio;;;;;;;tasa;302.06
196;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;125.96;;;367;;;;;;;;;;convenio;;;;;;;tasa;44.60
200;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
201;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;70.15;;"37 - ITALIA";1344;;;;;;;;;;convenio;;;;;;;tasa;24.84
204;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;101.62;;"37 - ITALIA";1344;;;;;;;;;;convenio;;;;;;;tasa;35.98
208;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;62.00
209;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;103.94
210;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;225.32;;;;;;;;;;;;;convenio;;;;;;;tasa;79.77
211;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;203.23;;;;;;;;;;;;;convenio;;;;;;;tasa;71.95
212;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;206.76;;;676;;;;;;;;;;convenio;;;;;;;tasa;73.21
213;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;105.52;;;;;;;;;;;;;convenio;;;;;;;tasa;37.36
218;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"52 - ALBERDI";1321;;;;;;;;;;convenio;;;;;;;tasa;20.00
219;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;508.68;;;;;;;;;;;;;convenio;;;;;;;tasa;180.10
220;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"39 - GRAL. LOPEZ ";3343;;;;;;;;;;convenio;;;;;;;tasa;182.61
221;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"39 - GRAL. LOPEZ ";3343;;;;;;;;;;convenio;;;;;;;tasa;59.39
222;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";1250;;;;;;;;;;convenio;;;;;;;tasa;163.23
223;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;538.28;;;367;;;;;;;;;;convenio;;;;;;;tasa;190.58
225;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;125.06;;;367;;;;;;;;;;convenio;;;;;;;tasa;44.28
226;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;367;;;;;;;;;;convenio;;;;;;;tasa;20.00
227;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;90.38;;;367;;;;;;;;;;convenio;;;;;;;tasa;32.00
228;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;66.03;;;367;;;;;;;;;;convenio;;;;;;;tasa;23.38
