"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
649839/0010-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;118.07;;4;1114;" ";NULL;"SANTA FE";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;167.48
649846/0001-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;95.05;;86;1626;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;134.82
649851/0003-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;75;557;"  ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649853/0000-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;24;3401;"  ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649866/0002-4;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;43;1564;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649867/0000-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;113.91;;10;1131;"  ";NULL;"BARRANCAS ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;161.57
649868/0001-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;115.09;;10;1131;"  ";NULL;"BARRANCAS ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;163.25
649888/0000-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;12;4358;"  ";NULL;"CAPITAL FEDERAL     ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649894/0009-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;21.09;;10;1131;"  ";NULL;"BARRANCAS ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;29.91
649723/0002-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;337.43;;142;740;" ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;478.63
649723/0003-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;113.49;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;160.98
649723/0004-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;224.90;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;319.01
649724/0001-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;96.57;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;136.98
649724/0002-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;98.71;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;140.01
649724/0003-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;228.58;;205;1680;"  ";NULL;"SANTO TOME          ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;324.23
649724/0004-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;324.90;;4;1058;"  ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;460.85
649724/0026-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;553.81;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;785.54
649724/0027-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;558.41;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;792.08
649724/0028-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;143.75;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;203.90
649724/0031-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;291.37;;204;360;"  ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;413.30
649724/0044-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;425.51;;202;367;"  ";NULL;"GALVEZ ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;603.56
649724/0055-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;75.09;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;106.51
649724/0056-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;84.74;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;120.20
649725/0000-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;110.27;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;156.41
649726/0001-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;223.95;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;317.65
649727/0001-3;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;51.61;;75;1681;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;73.21
649727/0004-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;43;1660;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649727/0005-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;46.64;;43;1660;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;66.16
649728/0001-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;25.80;;NULL;NULL;"  ";NULL;"SAN VICENTE (STA.FE)";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;36.59
649728/0002-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;25.80;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;36.59
649728/0003-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;25.79;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;36.59
649728/0004-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;25.79;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;36.59
649728/0005-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;25.79;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;36.59
649729/0001-1;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;NULL;NULL;"  ";NULL;"SAN CARLOS SUD      ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;102.74
649730/0000-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;21.57;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;30.60
649732/0000-6;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;18.89;;77;NULL;"  ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;26.79
649734/0001-3;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;43;1710;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649735/0000-3;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;4.42;;77;NULL;"  ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;26.79
649739/0001-8;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;77;NULL;"  ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649740/0001-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649741/0001-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;203;NULL;"  ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649741/0002-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;203;NULL;"  ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649742/0000-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;203;NULL;"  ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649743/0002-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;25;515;"  ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649746/0001-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;103.18;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;146.36
649746/0002-7;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;36.59
649747/0001-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;51.61;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;73.21
649747/0003-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;51.61;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;73.21
649747/0004-4;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;51.61;;5;730;"  ";NULL;"SAN CARLOS CENTRO   ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;73.21
649748/0000-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;46.77;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;66.35
649751/0002-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;51.22;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;72.65
649751/0003-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;36.48;;76;2326;"  ";NULL;"ESPERANZA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;51.75
649752/0001-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;191.79;;76;2326;"  ";NULL;"ESPERANZA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;272.05
649752/0003-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;95.17;;77;NULL;"  ";NULL;"AROCENA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;134.99
649756/0000-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.82;;76;2326;"  ";NULL;"ESPERANZA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.28
649758/0000-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.82;;77;NULL;"  ";NULL;"AROCENA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.28
649759/0001-2;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;75;1152;"  ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.07
649759/0002-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.67;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.07
649759/0003-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649759/0004-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.67;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.07
649759/0005-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.67;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.07
649759/0006-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;53.01;;NULL;NULL;"  ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;75.20
649760/0000-9;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;86;1879;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;58.52
649761/0000-8;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;86;1879;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;50.00
649772/0001-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;306.31;;59;1441;"  ";"PISO 6";"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;434.48
649772/0002-2;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;38;1337;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;128.91
649772/0003-1;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;38;1337;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;203.51
649773/0001-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1130.04;;204;360;"  ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;1602.89
649773/0017-0;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;14;1800;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;100.79
649773/0031-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;419.61;;204;360;"  ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;595.19
649818/0001-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;266.81;;204;360;"  ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;378.46
649820/0000-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;103.73;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;147.14
649821/0001-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;144.36;;323;781;"  ";NULL;"GALVEZ ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;204.77
649821/0002-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;162.56;;204;360;"  ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;230.57
649822/0001-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;64.35;;47;569;"  ";NULL;"RECONQUISTA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;91.28
649823/0000-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;47.96;;77;NULL;"  ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;68.02
649840/0000-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;22.76;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;32.29
